Device,Device Type,Vendor,Model,Software Version,EIGRP Enabling,ISIS Enabling,OSPF Enabling,BGP Enabling,MC-LAG Enabling,VXLAN Enabling,NAT Enabling
ACI-L3Out-249,Cisco IOS Switch,Cisco,WS-C3750X-24,15.2(4)E6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASA-AA/admin/act,Cisco ASA Firewall,,ASA5510,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ASA-AA/context2/act,Cisco ASA Firewall,,ASA5510,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASA.Switch,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASA@Switch,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASA\Router,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASAv40,Cisco ASA Firewall,,ASAv,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aruba-Switch1,Aruba Switch,Aruba,8400,Virtual.10.09.0002,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BJ-3750-1,Cisco IOS Switch,Cisco,WS-C3750G-48TS,12.2(55)SE4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BJ-Avaya-1,Avaya Switch,Avaya,ERS 5520,Ethernet Routing Switch 3550T         HW:01       FW:5.3.0.6   SW:v5.3.0.004 BN:04 (c) Avaya Networks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ-L2-Core-A,Cisco IOS Switch,Cisco,catalyst356024TS,15.0(2)SE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ-L2-coreB,Cisco IOS Switch,Cisco,WS-C3560-24TS,15.0(2)SE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BJ-R1,Cisco Router,Cisco,2821,15.1(4)M5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ-R3,Cisco Router,Cisco,2811,15.1(4)M2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BJ_Acc_SW6,Cisco IOS Switch,Cisco,WS-C2950-24,12.1(22)EA14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ_Dis_SW1,Cisco IOS Switch,Cisco,WS-C2950-24,12.1(22)EA1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ_L2_Core_3,Cisco IOS Switch,Cisco,WS-C3750-24TS,12.2(55)SE4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"BST,POP1",Cisco Router,Cisco,2500,12.2(24b),FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-1,Fortinet FortiGate Firewall,Fortinet,"FortiGate-200F","FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUR-R206-Forti200F-1_(BJ-Internet),Fortinet FortiGate Firewall,Fortinet,200F,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-1_(Cloud_Lab),Fortinet FortiGate Firewall,Fortinet,200F,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-1_(Demo-Lab),Fortinet FortiGate Firewall,Fortinet,200F,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
